postcode,suburb,state,category
2337,BELLTREES,NSW,Delivery Area
2280,BELMONT,NSW,Delivery Area
2280,BELMONT NORTH,NSW,Delivery Area
2280,BELMONT SOUTH,NSW,Delivery Area
2192,BELMORE,NSW,Delivery Area
2440,BELMORE RIVER,NSW,Delivery Area
2628,BELOKA,NSW,Delivery Area
2787,BELOON,NSW,Delivery Area
2545,BELOWRA,NSW,Delivery Area
2085,BELROSE,NSW,Delivery Area
2085,BELROSE WEST,NSW,Delivery Area
2550,BEMBOKA,NSW,Delivery Area
2790,BEN BULLEN,NSW,Delivery Area
2365,BEN LOMOND,NSW,Delivery Area
2536,BENANDARAH,NSW,Delivery Area
2539,BENDALONG,NSW,Delivery Area
2355,BENDEMEER,NSW,Delivery Area
2803,BENDICK MURRELL,NSW,Delivery Area
2420,BENDOLBA,NSW,Delivery Area
2622,BENDOURA,NSW,Delivery Area
2680,BENEREMBAH,NSW,Delivery Area
2333,BENGALLA,NSW,Delivery Area
2290,BENNETTS GREEN,NSW,Delivery Area
2818,BENOLONG,NSW,Delivery Area
2251,BENSVILLE,NSW,Delivery Area
2480,BENTLEY,NSW,Delivery Area
2141,BERALA,NSW,Delivery Area
2758,BERAMBING,NSW,Delivery Area
2322,BERESFIELD,NSW,Delivery Area
2537,BERGALIA,NSW,Delivery Area
2506,BERKELEY,NSW,Delivery Area
2261,BERKELEY VALE,NSW,Delivery Area
2765,BERKSHIRE PARK,NSW,Delivery Area
2622,BERLANG,NSW,Delivery Area
2546,BERMAGUI,NSW,Delivery Area
2081,BEROWRA,NSW,Delivery Area
2082,BEROWRA CREEK,NSW,Delivery Area
2082,BEROWRA HEIGHTS,NSW,Delivery Area
2082,BEROWRA WATERS,NSW,Delivery Area
2548,BERRAMBOOL,NSW,Delivery Area
2540,BERRARA,NSW,Delivery Area
2582,BERREMANGRA,NSW,Delivery Area
2422,BERRICO,NSW,Delivery Area
2628,BERRIDALE,NSW,Delivery Area
2390,BERRIGAL,NSW,Delivery Area
2712,BERRIGAN,NSW,Delivery Area
2159,BERRILEE,NSW,Delivery Area
2577,BERRIMA,NSW,Delivery Area
2539,BERRINGER LAKE,NSW,Delivery Area
2535,BERRY,NSW,Delivery Area
2701,BERRY JERRY,NSW,Delivery Area
2535,BERRY MOUNTAIN,NSW,Delivery Area
2321,BERRY PARK,NSW,Delivery Area
2594,BERTHONG,NSW,Delivery Area
2852,BERYL,NSW,Delivery Area
2590,BETHUNGRA,NSW,Delivery Area
2581,BEVENDALE,NSW,Delivery Area
2217,BEVERLEY PARK,NSW,Delivery Area
2209,BEVERLY HILLS,NSW,Delivery Area
2540,BEWONG,NSW,Delivery Area
2480,BEXHILL,NSW,Delivery Area
2207,BEXLEY,NSW,Delivery Area
2207,BEXLEY NORTH,NSW,Delivery Area
2207,BEXLEY SOUTH,NSW,Delivery Area
2581,BIALA,NSW,Delivery Area
2632,BIBBENLUKE,NSW,Delivery Area
2570,BICKLEY VALE,NSW,Delivery Area
2827,BIDDON,NSW,Delivery Area
2642,BIDGEEMIA,NSW,Delivery Area
2770,BIDWILL,NSW,Delivery Area
2453,BIELSDOWN HILLS,NSW,Delivery Area
2579,BIG HILL,NSW,Delivery Area
2339,BIG JACKS CREEK,NSW,Delivery Area
2330,BIG RIDGE,NSW,Delivery Area
2650,BIG SPRINGS,NSW,Delivery Area
2330,BIG YENGO,NSW,Delivery Area
2583,BIGGA,NSW,Delivery Area
2486,BILAMBIL,NSW,Delivery Area
2486,BILAMBIL HEIGHTS,NSW,Delivery Area
2680,BILBUL,NSW,Delivery Area
2107,BILGOLA BEACH,NSW,Delivery Area
2107,BILGOLA PLATEAU,NSW,Delivery Area
2829,BILLEROY,NSW,Delivery Area
2630,BILLILINGRA,NSW,Delivery Area
2804,BILLIMARI,NSW,Delivery Area
2483,BILLINUDGEL,NSW,Delivery Area
2453,BILLYS CREEK,NSW,Delivery Area
2795,BILLYWILLINGA,NSW,Delivery Area
2758,BILPIN,NSW,Delivery Area
2611,BIMBERI,NSW,Delivery Area
2810,BIMBI,NSW,Delivery Area
2536,BIMBIMBIE,NSW,Delivery Area
2787,BIMLOW,NSW,Delivery Area
2584,BINALONG,NSW,Delivery Area
2583,BINDA,NSW,Delivery Area
2422,BINDERA,NSW,Delivery Area
2787,BINDOOK,NSW,Delivery Area
2404,BINGARA,NSW,Delivery Area
2469,BINGEEBEEBRA CREEK,NSW,Delivery Area
2537,BINGIE,NSW,Delivery Area
2311,BINGLEBURRA,NSW,Delivery Area
2399,BINIGUY,NSW,Delivery Area
2630,BINJURA,NSW,Delivery Area
2479,BINNA BURRA,NSW,Delivery Area
2395,BINNAWAY,NSW,Delivery Area
2665,BINYA,NSW,Delivery Area
2041,BIRCHGROVE,NSW,Delivery Area
2446,BIRDWOOD,NSW,Delivery Area
2710,BIRGANBIGIL,NSW,Delivery Area
2287,BIRMINGHAM GARDENS,NSW,Delivery Area
2844,BIRRIWA,NSW,Delivery Area
